steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,,
,,,,,,,,,,,,,,,,
4.416,4,3.089165583,1,17,0.036,0,0.196733322,0,2,25.65217107,5,129.7860179,2,2149.913226,,
,,,,,,,,,,,,,,,,
4.492666667,4,3.076461098,1,19,0.053333333,0,0.236267269,0,2,35.129129,5,153.2319064,2,2149.964099,,
,,,,,,,,,,,,,,,,
4.932666667,5,4.708163077,1,101,0.042666667,0,0.214894289,0,2,30.24642723,6,145.1625171,2,2149.989,,
,,,,,,,,,,,,,,,,
5.365333333,5,5.525805964,1,101,0.051333333,0,0.220676737,0,1,31.95114466,6,110.7655003,2,512.4399733,,
,,,,,,,,,,,,,,,,
4.732,4,6.763739794,1,101,0.038,0,0.191196234,0,1,24.69022129,5,96.06481489,2,510.9033072,,
,,,,,,,,,,,,,,,,
4.809333333,4,5.321871183,1,101,0.048666667,0,0.218246548,0,2,30.84052026,5,119.8435873,2,2149.986295,,
,,,,,,,,,,,,,,,,
5.194666667,5,6.546610183,1,111,0.059333333,0,0.249959108,0,2,39.52080912,6,165.8459741,2,2149.986295,,
,,,,,,,,,,,,,,,,
5.365333333,5,6.046806173,1,101,0.063333333,0,0.251639071,0,2,40.21677407,6,151.5945385,2,2149.986295,,
,,,,,,,,,,,,,,,,
5.809333333,5,8.175388649,1,101,0.064666667,0,0.259136172,0,3,42.91412032,6,191.6622056,2,5029.352235,,
,,,,,,,,,,,,,,,,
5.744666667,5,6.85425451,1,128,0.068666667,0,0.260675192,0,2,43.18780414,6,155.3986653,2,2149.986295,,
,,,,,,,,,,,,,,,,
5.93,5,7.447399994,1,101,0.066,0,0.263901497,0,2,44.39575506,6,177.6499644,2,2149.989,,
,,,,,,,,,,,,,,,,
6.158,6,7.550432835,1,102,0.067333333,0,0.261022775,0,2,43.70124695,7,162.8556661,2,2149.964099,,
,,,,,,,,,,,,,,,,
5.712666667,5,4.362962245,1,101,0.072666667,0,0.272126605,0,2,46.71056852,7,174.128204,2,2149.986295,,
,,,,,,,,,,,,,,,,
6.208,6,6.129442824,1,101,0.073333333,0,0.275600355,0,2,48.29541187,7,181.9207416,2,2149.989,,
,,,,,,,,,,,,,,,,
6.372666667,6,6.74293108,1,108,0.083333333,0,0.292783576,0,2,54.13751052,7,194.5909939,2,2149.964099,,
,,,,,,,,,,,,,,,,
7.124,6,9.167294621,1,101,0.104666667,0,0.33721144,0,3,71.69638699,7,266.8752355,2,5027.63304,,
,,,,,,,,,,,,,,,,
7.262,6,8.768961702,1,101,0.118,0,0.352244233,0,3,78.48081746,8,271.3623047,2,5026.256364,,
,,,,,,,,,,,,,,,,
7.794,7,9.072204657,1,113,0.141333333,0,0.381258734,0,2,92.79006274,8,278.1070348,2,2149.989,,
,,,,,,,,,,,,,,,,
8.224666667,7,9.612952628,1,101,0.173333333,0,0.437365852,0,3,123.1875461,9,410.8885914,2,5028.829642,,
,,,,,,,,,,,,,,,,
7.753333333,7,6.761396963,1,101,0.17,0,0.416052881,0,5,112.1589837,9,461.0449661,2,14678.83509,,
,,,,,,,,,,,,,,,,
8.47,7,9.940276656,1,101,0.172666667,0,0.416556786,0,3,113.0281034,9,333.5432691,2,5028.255348,,
,,,,,,,,,,,,,,,,
8.949333333,8,10.48834748,1,101,0.187333333,0,0.436928166,0,3,125.3126236,9,346.9848057,2,5026.256364,,
,,,,,,,,,,,,,,,,
8.512666667,7,9.482853274,1,115,0.196666667,0,0.447945929,0,3,131.7052317,9,370.835321,2,5029.352235,,
,,,,,,,,,,,,,,,,
9.432,8,11.02391534,1,101,0.200666667,0,0.450628697,0,3,134.7389374,10,371.0993047,2,5025.506959,,
,,,,,,,,,,,,,,,,
9.194,8,10.23062546,1,101,0.218666667,0,0.467815728,0,3,146.4233414,10,387.3188622,2,5026.256364,,
,,,,,,,,,,,,,,,,
9.538,8,10.24020944,1,101,0.214,0,0.447441616,0,2,135.1530407,10,320.9635233,2,2149.986295,,
,,,,,,,,,,,,,,,,
9.645333333,8,11.17316181,1,101,0.224,0,0.463850551,0,3,145.7364357,10,371.2812209,2,5023.038198,,
,,,,,,,,,,,,,,,,
9.714666667,8,11.3116423,1,101,0.238666667,0,0.499704802,0,3,168.4963918,10,470.6305557,2,5026.256364,,
,,,,,,,,,,,,,,,,
10.10866667,8,12.82682833,1,112,0.262666667,0,0.507614902,0,4,178.474927,10,496.3404385,2,9120.10948,,
,,,,,,,,,,,,,,,,
11.43866667,8,15.199328,1,109,0.260666667,0,0.526041401,0,4,190.1856286,10,539.7726197,2,9173.423708,,
,,,,,,,,,,,,,,,,
11.782,9,14.86435813,1,102,0.286666667,0,0.509073232,0,3,186.3475762,11,438.407418,2,5022.147118,,
,,,,,,,,,,,,,,,,
13.55866667,9,19.28235527,1,113,0.302666667,0,0.557727134,0,3,222.1126481,12,554.2268009,2,5027.63304,,
,,,,,,,,,,,,,,,,
14.39666667,9,20.087724,1,114,0.321333333,0,0.558042611,0,4,228.1335995,12,564.2420777,2,9169.408691,,
